"host_id.x","host_id.y","numReviewers"
"H1000206","H39930655",4
"H1000206","H511136",2
"H1000206","H7025353",7
"H10017900","H18091352",2
"H10017900","H2215579",2
"H10017900","H22717482",2
"H10017900","H2639662",2
"H10017900","H3354849",2
"H10017900","H3781807",2
"H10017900","H5448602",2
"H10017900","H6147951",3
"H10017900","H672624",2
"H10017900","H7138809",2
"H10020304","H8654665",2
"H100579994","H5688329",2
"H100727","H11611752",2
"H100727","H46630199",2
"H100727","H5710297",2
"H100727","H8008783",2
"H100727","H949856",2
"H10084983","H1482916",2
"H10084983","H1565502",6
"H10084983","H27323824",2
"H10084983","H27696",5
"H10084983","H4071043",2
"H10084983","H4240274",2
"H10084983","H7037040",2
"H100955349","H22456488",4
"H100955349","H40035090",2
"H100955349","H7138410",2
"H10098733","H17633",2
"H101148074","H2038963",2
"H101148074","H4088184",2
"H101148074","H87346288",2
"H101227181","H102506161",12
"H10210206","H44949993",11
"H10210206","H5318956",2
"H102276345","H35794807",2
"H102490331","H20527599",4
"H102506161","H101227181",12
"H10256614","H16442013",2
"H10256614","H26017860",2
"H10256614","H3914691",2
"H10256614","H47426300",7
"H10292499","H16442013",2
"H10292499","H19008477",2
"H10292499","H26017860",2
"H10292499","H3914691",2
"H10292499","H47426300",7
"H10292686","H2038963",5
"H10292686","H6263160",2
"H10292686","H7991441",2
"H10292686","H902380",2
"H10295815","H1468624",3
"H103039597","H4840610",2
"H103039597","H57817556",3
"H103039597","H8201030",2
"H103466813","H14444017",2
"H10353908","H67068549",2
"H10364668","H39930655",2
"H10364668","H40144156",2
"H10364668","H7247352",2
"H10364668","H86600663",2
"H10407231","H15902586",2
"H10407231","H39930655",2
"H104578300","H21176268",2
"H104578300","H23183316",3
"H104578300","H3106799",2
"H104578300","H5778691",4
"H104578300","H6757090",2
"H10555363","H10682323",2
"H10555363","H12003362",2
"H10555363","H2217225",2
"H10555363","H56607502",2
"H10555363","H6429318",2
"H10555363","H8713526",2
"H10569373","H1443163",2
"H10569373","H7025353",2
"H105847496","H18220671",2
"H105847496","H23630423",2
"H105847496","H4240274",2
"H105847496","H69033883",2
"H10620467","H11392153",2
"H10620467","H25859907",2
"H106550","H33747834",2
"H106550","H34193611",2
"H10656987","H2070536",2
"H10656987","H24599895",2
"H10656987","H39930655",6
"H10664333","H39930655",2
"H10664333","H8008783",2
"H10676734","H392506",2
"H10676734","H46630199",2
"H10682323","H10555363",2
"H107711368","H13505475",2
"H10808381","H15044614",4
"H10808381","H16442013",2
"H10808381","H26017860",2
"H10808381","H3914691",2
"H10808381","H46630199",3
"H10808381","H47426300",7
"H108086559","H94800793",2
"H108566353","H16442013",2
"H108566353","H26017860",2
"H108566353","H3914691",2
"H108566353","H47426300",7
"H10871811","H11630609",2
"H10871811","H14363575",2
"H10871811","H17633",2
"H10871811","H1864688",3
"H10871811","H253258",2
"H10871811","H39930655",3
"H10871811","H45065765",2
"H10871811","H46542918",2
"H10871811","H511136",3
"H10871811","H5812009",2
"H10871811","H5968774",2
"H10871811","H8160186",2
"H10871811","H89175598",2
"H10871811","H89849",2
"H10883615","H1565502",6
"H10894446","H58166745",2
"H10894446","H8008783",2
"H10921367","H46630199",3
"H109316702","H39930655",2
"H109447751","H35672131",2
"H10952517","H11630609",2
"H10952517","H45095645",2
"H10952517","H46542918",2
"H10952517","H5812009",2
"H1096793","H24049370",2
"H1096793","H30100464",4
"H1096793","H32067",2
"H1096793","H32844998",2
"H1096793","H41648044",2
"H1096793","H46630199",2
"H1096793","H8160186",4
"H1098063","H5318956",2
